| Übersicht Sozialversicherungen 2025 für alle Mitarbeitende mit einem unbefristeten Arbeitsverhältnis oder mit einem befristeten Anstellungsvertrag von mehr als 3 Monaten                                                                                | Übersicht Sozialversicherungen 2025 für alle Mitarbeitende mit einem unbefristeten Arbeitsverhältnis oder mit einem befristeten Anstellungsvertrag von mehr als 3 Monaten                                                                                | Übersicht Sozialversicherungen 2025 für alle Mitarbeitende mit einem unbefristeten Arbeitsverhältnis oder mit einem befristeten Anstellungsvertrag von mehr als 3 Monaten                                                                                | Übersicht Sozialversicherungen 2025 für alle Mitarbeitende mit einem unbefristeten Arbeitsverhältnis oder mit einem befristeten Anstellungsvertrag von mehr als 3 Monaten                                                                                | Übersicht Sozialversicherungen 2025 für alle Mitarbeitende mit einem unbefristeten Arbeitsverhältnis oder mit einem befristeten Anstellungsvertrag von mehr als 3 Monaten                                                                                | Übersicht Sozialversicherungen 2025 für alle Mitarbeitende mit einem unbefristeten Arbeitsverhältnis oder mit einem befristeten Anstellungsvertrag von mehr als 3 Monaten                                                                                | Beiträge Arbeitnehmer (AN)                                                                                                                                                                                                                               | +/- Vorjahr (AN)                                                                                                                                                                                                                                         | +/- Vorjahr (AN)                                                                                                                                                                                                                                         |
|                                                                                                                                                                                                                                                          | + (UVG)                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          | Sparbeitrag Maximal                                                                                                                                                                                                                                      |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
| Leistungen                                                                                                                                                                                                                                               |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          | Risikobeitrag                                                                                                                                                                                                                                            |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
| Unfallversicherung Versicherte Versicherer                                                                                                                                                                                                               | Gesamtes Personal; Personen, die weniger als 8 Std./Woche                                                                                                                                                                                                | arbeiten,                                                                                                                                                                                                                                                | sind nur                                                                                                                                                                                                                                                 | versichert.                                                                                                                                                                                                                                              | Totalprämie                                                                                                                                                                                                                                              | 0                                                                                                                                                                                                                                                        |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
| BU / NBU Unfallzusatzversicherung                                                                                                                                                                                                                        | / Nichtberufsunfall                                                                                                                                                                                                                                      | / Nichtberufsunfall                                                                                                                                                                                                                                      | / Nichtberufsunfall                                                                                                                                                                                                                                      | / Nichtberufsunfall                                                                                                                                                                                                                                      | Totalprämie                                                                                                                                                                                                                                              | 0                                                                                                                                                                                                                                                        |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
| Versicherte Versicherer                                                                                                                                                                                                                                  | Gesamtes Personal (ohne Mitarbeitende mit einem befristeten Anstellungsvertrag unter 3 Monaten) Personen, die weniger als 8 Std./Woche arbeiten, sind nur bei Berufsunfällen versichert.                                                                 | Gesamtes Personal (ohne Mitarbeitende mit einem befristeten Anstellungsvertrag unter 3 Monaten) Personen, die weniger als 8 Std./Woche arbeiten, sind nur bei Berufsunfällen versichert.                                                                 | Gesamtes Personal (ohne Mitarbeitende mit einem befristeten Anstellungsvertrag unter 3 Monaten) Personen, die weniger als 8 Std./Woche arbeiten, sind nur bei Berufsunfällen versichert.                                                                 | Gesamtes Personal (ohne Mitarbeitende mit einem befristeten Anstellungsvertrag unter 3 Monaten) Personen, die weniger als 8 Std./Woche arbeiten, sind nur bei Berufsunfällen versichert.                                                                 | 0.642%                                                                                                                                                                                                                                                   |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
| Leistungen UVG +                                                                                                                                                                                                                                         | Generali U.a. Heilungskosten: Spitalaufenthalt in der Privaten Abteilung ab dem 1. Tag Lohnfortzahlung erfolgt 100% während 90 Tagen,                                                                                                                    | Generali U.a. Heilungskosten: Spitalaufenthalt in der Privaten Abteilung ab dem 1. Tag Lohnfortzahlung erfolgt 100% während 90 Tagen,                                                                                                                    | Generali U.a. Heilungskosten: Spitalaufenthalt in der Privaten Abteilung ab dem 1. Tag Lohnfortzahlung erfolgt 100% während 90 Tagen,                                                                                                                    | Generali U.a. Heilungskosten: Spitalaufenthalt in der Privaten Abteilung ab dem 1. Tag Lohnfortzahlung erfolgt 100% während 90 Tagen,                                                                                                                    | Generali U.a. Heilungskosten: Spitalaufenthalt in der Privaten Abteilung ab dem 1. Tag Lohnfortzahlung erfolgt 100% während 90 Tagen,                                                                                                                    |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
| Versicherte                                                                                                                                                                                                                                              | Krankentaggeldversicherung (KTG)                                                                                                                                                                                                                         | Krankentaggeldversicherung (KTG)                                                                                                                                                                                                                         | Krankentaggeldversicherung (KTG)                                                                                                                                                                                                                         | Krankentaggeldversicherung (KTG)                                                                                                                                                                                                                         | Krankentaggeldversicherung (KTG)                                                                                                                                                                                                                         |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
| Versicherer Leistungen                                                                                                                                                                                                                                   | Gesamtes Personal bis zur Erreichung des 70. Altersjahr (ohne Mitarbeitende mit einem befristeten Anstellungsvertrag unter 3 Monaten) Generali                                                                                                           | Gesamtes Personal bis zur Erreichung des 70. Altersjahr (ohne Mitarbeitende mit einem befristeten Anstellungsvertrag unter 3 Monaten) Generali                                                                                                           | Gesamtes Personal bis zur Erreichung des 70. Altersjahr (ohne Mitarbeitende mit einem befristeten Anstellungsvertrag unter 3 Monaten) Generali                                                                                                           | Gesamtes Personal bis zur Erreichung des 70. Altersjahr (ohne Mitarbeitende mit einem befristeten Anstellungsvertrag unter 3 Monaten) Generali                                                                                                           | Totalprämie                                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
| KTG                                                                                                                                                                                                                                                      | Lohnfortzahlung erfolgt 100% während 90 Tagen, ab 91. Tag zu 90% des Lohnes, max. 730 Tage (ab Rentenalter max. 180 Tage) Leistungen im Ausland sind limitiert. Ausland Mitarbeitende auf Geschäftsreise                                                 | Lohnfortzahlung erfolgt 100% während 90 Tagen, ab 91. Tag zu 90% des Lohnes, max. 730 Tage (ab Rentenalter max. 180 Tage) Leistungen im Ausland sind limitiert. Ausland Mitarbeitende auf Geschäftsreise                                                 | Lohnfortzahlung erfolgt 100% während 90 Tagen, ab 91. Tag zu 90% des Lohnes, max. 730 Tage (ab Rentenalter max. 180 Tage) Leistungen im Ausland sind limitiert. Ausland Mitarbeitende auf Geschäftsreise                                                 | Lohnfortzahlung erfolgt 100% während 90 Tagen, ab 91. Tag zu 90% des Lohnes, max. 730 Tage (ab Rentenalter max. 180 Tage) Leistungen im Ausland sind limitiert. Ausland Mitarbeitende auf Geschäftsreise                                                 | Lohnfortzahlung erfolgt 100% während 90 Tagen, ab 91. Tag zu 90% des Lohnes, max. 730 Tage (ab Rentenalter max. 180 Tage) Leistungen im Ausland sind limitiert. Ausland Mitarbeitende auf Geschäftsreise                                                 |                                                                                                                                                                                                                                                          | 0                                                                                                                                                                                                                                                        | 0                                                                                                                                                                                                                                                        |
| Versicherte                                                                                                                                                                                                                                              | ERV - Europäische Reiseversicherung                                                                                                                                                                                                                      | ERV - Europäische Reiseversicherung                                                                                                                                                                                                                      | ERV - Europäische Reiseversicherung                                                                                                                                                                                                                      | ERV - Europäische Reiseversicherung                                                                                                                                                                                                                      | ERV - Europäische Reiseversicherung                                                                                                                                                                                                                      |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
| Leistungen Vorgehen                                                                                                                                                                                                                                      | gemäss Versicherungspolice                                                                                                                                                                                                                               | gemäss Versicherungspolice                                                                                                                                                                                                                               | gemäss Versicherungspolice                                                                                                                                                                                                                               | gemäss Versicherungspolice                                                                                                                                                                                                                               | gemäss Versicherungspolice                                                                                                                                                                                                                               |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
|                                                                                                                                                                                                                                                          | Merkblatt und Notfallkarte ist vor Abreise ins Ausland bei HR erhältlich (KVG)                                                                                                                                                                           | Merkblatt und Notfallkarte ist vor Abreise ins Ausland bei HR erhältlich (KVG)                                                                                                                                                                           | Merkblatt und Notfallkarte ist vor Abreise ins Ausland bei HR erhältlich (KVG)                                                                                                                                                                           | Merkblatt und Notfallkarte ist vor Abreise ins Ausland bei HR erhältlich (KVG)                                                                                                                                                                           | Merkblatt und Notfallkarte ist vor Abreise ins Ausland bei HR erhältlich (KVG)                                                                                                                                                                           |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
| Krankenversicherung                                                                                                                                                                                                                                      | Die Grundversicherung der Krankenkasse ist obligatorisch und Sache des Mitarbeitenden.                                                                                                                                                                   | Die Grundversicherung der Krankenkasse ist obligatorisch und Sache des Mitarbeitenden.                                                                                                                                                                   | Die Grundversicherung der Krankenkasse ist obligatorisch und Sache des Mitarbeitenden.                                                                                                                                                                   | Die Grundversicherung der Krankenkasse ist obligatorisch und Sache des Mitarbeitenden.                                                                                                                                                                   | Die Grundversicherung der Krankenkasse ist obligatorisch und Sache des Mitarbeitenden.                                                                                                                                                                   |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
| Allgemeines                                                                                                                                                                                                                                              | Bei Bedarf kann der Mitarbeitende für erweiterte Leistungen eine Zusatzversicherung abschliessen.                                                                                                                                                        | Bei Bedarf kann der Mitarbeitende für erweiterte Leistungen eine Zusatzversicherung abschliessen.                                                                                                                                                        | Bei Bedarf kann der Mitarbeitende für erweiterte Leistungen eine Zusatzversicherung abschliessen.                                                                                                                                                        | Bei Bedarf kann der Mitarbeitende für erweiterte Leistungen eine Zusatzversicherung abschliessen.                                                                                                                                                        | Bei Bedarf kann der Mitarbeitende für erweiterte Leistungen eine Zusatzversicherung abschliessen.                                                                                                                                                        |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
|                                                                                                                                                                                                                                                          | Mitarbeitende (inkl. Familienangehörige ) von Hager Schweiz erhalten bei CSS und Concordia Rabatt auf ausgewählten Zusatzversicherungen, jedoch nicht auf der Grundversicherung.                                                                         |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
|                                                                                                                                                                                                                                                          | Mitarbeitende kontaktieren direkt die Agentur in ihrer Nähe und geben die Vertrags-Nr. von Hager an:                                                                                                                                                     |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
| Vorgehen                                                                                                                                                                                                                                                 |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          | CSS: Nr.                                                                                                                                                                                                                                                 |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
|                                                                                                                                                                                                                                                          | bei 0111888, bei Concordia: Nr. KN001916                                                                                                                                                                                                                 |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
| UVGZ                                                                                                                                                                                                                                                     |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          | bei Berufsunfällen                                                                                                                                                                                                                                       | SUVA Berufsunfall, Berufskrankheiten (UVGZ)                                                                                                                                                                                                              |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
|                                                                                                                                                                                                                                                          | ab 91. Tag zu 90% des Lohnes bis zum Beginn der                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          | max. 730 Tage                                                                                                                                                                                                                                            |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
|                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          | Invalidenrente,                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
|                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          | 0.642%                                                                                                                                                                                                                                                   |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
|                                                                                                                                                                                                                                                          | Versicherungsschutz weltweit, Leistungen im Ausland                                                                                                                                                                                                      | sind                                                                                                                                                                                                                                                     |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
|                                                                                                                                                                                                                                                          | limitiert.                                                                                                                                                                                                                                               | limitiert.                                                                                                                                                                                                                                               | limitiert.                                                                                                                                                                                                                                               | limitiert.                                                                                                                                                                                                                                               | limitiert.                                                                                                                                                                                                                                               |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
|                                                                                                                                                                                                                                                          | Geschäftsreiseversicherung                                                                                                                                                                                                                               | Geschäftsreiseversicherung                                                                                                                                                                                                                               | Geschäftsreiseversicherung                                                                                                                                                                                                                               | Geschäftsreiseversicherung                                                                                                                                                                                                                               | Geschäftsreiseversicherung                                                                                                                                                                                                                               |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
| Versicherer                                                                                                                                                                                                                                              |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
|                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          | 100%                                                                                                                                                                                                                                                     | 100%                                                                                                                                                                                                                                                     |

## Zu beachten

Jede Abwesenheit infolge Krankheit oder Unfall ist unverzüglich dem Vorgesetzten zu melden.

Bei Unfällen ist zusätzlich Human Resources zur Erstellung der Unfallmeldung an SUVA zu informieren.

Arztzeugnisse sind spätestens ab dem 4. Kalendertag an den Vorgesetzten zu senden und an HR weiterzuleiten.

Die Versicherungsleistungen richten sich nach der jeweils gültigen Versicherungspolice inkl. dazu gehörenden allgemeinen Versicherungsbedingungen.

Bei Fragen ist Human Resources zuständig.
